model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B-FP8,4000,1000,0,160,1.698,160,160,1261.66,93.568,94735.839,1.698,1.698,1696.216,1696.216,10.687,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,133.815,0.16,1.0,159.0,4159.0,4000,159.0,vllm,0.19.0,h200_sxm,0.0,1696.216
Qwen/Qwen3-32B-FP8,4000,1000,0,128,1.69,128,128,1244.417,75.043,76212.24,1.69,1.69,1688.056,1688.056,13.326,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,114.278,0.128,1.0,127.0,4127.0,4000,127.0,vllm,0.19.0,h200_sxm,0.0,1688.056
Qwen/Qwen3-32B-FP8,4000,1000,0,112,1.635,112,112,1233.614,67.795,68961.19,1.635,1.635,1632.992,1632.992,14.75,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,104.51,0.112,1.0,111.0,4111.0,4000,111.0,vllm,0.19.0,h200_sxm,0.0,1632.992
Qwen/Qwen3-32B-FP8,4000,1000,0,96,1.577,96,96,1180.062,60.169,61288.453,1.577,1.577,1575.474,1575.474,16.62,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,94.742,0.096,1.0,95.0,4095.0,4000,95.0,vllm,0.19.0,h200_sxm,0.0,1575.474
Qwen/Qwen3-32B-FP8,4000,1000,0,80,1.487,80,80,1169.305,53.072,54188.111,1.487,1.487,1485.788,1485.788,18.842,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,84.973,0.08,1.0,79.0,4079.0,4000,79.0,vllm,0.19.0,h200_sxm,0.0,1485.788
Qwen/Qwen3-32B-FP8,4000,1000,0,128,2.839,128,128,1342.364,44.213,45510.876,2.839,1.419,2836.126,1418.063,22.618,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,59.683,0.064,2.0,126.0,8126.0,8000,126.0,vllm,0.19.0,h200_sxm,0.0,1418.063
Qwen/Qwen3-32B-FP8,4000,1000,0,112,2.755,112,112,1333.057,39.773,41066.778,2.755,1.377,2752.204,1376.102,25.142,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,54.798,0.056,2.0,110.0,8110.0,8000,110.0,vllm,0.19.0,h200_sxm,0.0,1376.102
Qwen/Qwen3-32B-FP8,4000,1000,0,96,2.635,96,96,1323.749,35.548,36836.293,2.635,1.317,2632.248,1316.124,28.131,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,49.914,0.048,2.0,94.0,8094.0,8000,94.0,vllm,0.19.0,h200_sxm,0.0,1316.124
Qwen/Qwen3-32B-FP8,4000,1000,0,80,2.502,80,80,1265.15,31.081,32314.994,2.502,1.251,2499.569,1249.784,32.174,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,45.029,0.04,2.0,78.0,8078.0,8000,78.0,vllm,0.19.0,h200_sxm,0.0,1249.784
Qwen/Qwen3-32B-FP8,4000,1000,0,64,2.307,64,64,1125.75,26.838,27936.924,2.307,1.154,2305.129,1152.564,37.261,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,40.145,0.032,2.0,62.0,8062.0,8000,62.0,vllm,0.19.0,h200_sxm,0.0,1152.564
