model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
Qwen/Qwen3-32B-FP8,4000,1000,0,2176,44.55,1,1,15,128,128,17,545.531,44.415,44916.116,44.55,1.392,44550.0,1392.188,22.515,3.3,2.885,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,36.62,vllm,0.19.0,h200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,113.654,vllm,0.19.0,h200_sxm,0.0,1392.188
Qwen/Qwen3-32B-FP8,4000,1000,0,1728,41.58,1,1,14,192,192,9,545.531,38.061,38568.47,41.58,1.299,41580.0,1299.375,26.273,3.3,5.05,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,36.62,vllm,0.19.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,78.476,vllm,0.19.0,h200_sxm,0.0,1299.375
Qwen/Qwen3-32B-FP8,4000,1000,0,480,17.82,1,1,6,96,96,5,545.531,23.277,23799.254,17.82,1.114,17820.0,1113.75,42.961,3.3,4.128,16,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,36.62,vllm,0.19.0,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,49.179,vllm,0.19.0,h200_sxm,0.0,1113.75
Qwen/Qwen3-32B-FP8,4000,1000,0,640,34.583,1,1,12,128,128,5,545.531,17.042,17570.489,34.583,1.081,34582.8,1080.712,58.677,3.3,7.518,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,36.62,vllm,0.19.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,31.473,vllm,0.19.0,h200_sxm,0.0,1080.712
Qwen/Qwen3-32B-FP8,4000,1000,0,560,32.232,1,1,12,112,112,5,545.531,16.0,16529.531,32.232,1.007,32232.2,1007.256,62.499,3.3,7.007,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,36.62,vllm,0.19.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,29.031,vllm,0.19.0,h200_sxm,0.0,1007.256
Qwen/Qwen3-32B-FP8,4000,1000,0,192,11.88,1,1,4,64,64,3,545.531,13.271,13803.26,11.88,0.742,11880.0,742.5,75.351,3.3,4.827,16,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,36.62,vllm,0.19.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,21.707,vllm,0.19.0,h200_sxm,0.0,742.5
Qwen/Qwen3-32B-FP8,4000,1000,0,160,11.615,1,1,4,32,32,5,545.531,12.688,13220.843,11.615,0.484,11615.0,483.958,78.815,3.3,2.525,24,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,36.62,vllm,0.19.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,16.824,vllm,0.19.0,h200_sxm,0.0,362.9685
Qwen/Qwen3-32B-FP8,4000,1000,0,84,6.846,1,1,4,12,12,7,545.531,11.303,11837.228,6.846,0.214,6845.72,213.929,88.472,3.3,1.063,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,36.62,vllm,0.19.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,13.772,vllm,0.19.0,h200_sxm,0.0,213.929
Qwen/Qwen3-32B-FP8,4000,1000,0,56,4.907,1,1,4,8,8,7,545.531,10.51,11045.021,4.907,0.153,4907.28,153.352,95.144,3.3,0.762,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,36.62,vllm,0.19.0,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,13.162,vllm,0.19.0,h200_sxm,0.0,153.352
Qwen/Qwen3-32B-FP8,4000,1000,0,36,3.232,1,1,8,12,12,3,545.531,10.254,10789.277,3.232,0.101,3231.96,100.999,97.522,3.3,1.171,32,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,36.62,vllm,0.19.0,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,8.862,vllm,0.19.0,h200_sxm,0.0,100.999
